ano,mes,id_sh4,id_pais,sigla_uf,id_municipio,peso_liquido_kg,valor_fob_dolar
2002,12,402,88,SP,3503208,18353,13475
2002,12,2009,87,SP,3503208,2174842,2011729
2002,12,6115,611,SP,3503208,4111,57233
2002,12,6106,611,SP,3503208,77,1271
2002,12,9403,611,SP,3503208,140,74
2002,12,6107,611,SP,3503208,469,7829
2002,12,6115,137,SP,3503208,92,4131
2002,12,6212,611,SP,3503208,77,1757
2002,12,6109,611,SP,3503208,22,1275
2002,12,6104,611,SP,3503208,11,2264
2002,12,3301,754,SP,3503208,3633,10899
2002,11,402,199,SP,3503208,38224,40532
2002,11,2009,47,SP,3503208,18550,21599
2002,11,402,767,SP,3503208,19112,14031
2002,11,7615,505,SP,3503208,2686,10810
2002,11,402,337,SP,3503208,19112,14031
2002,11,402,780,SP,3503208,19112,14031
2002,11,402,88,SP,3503208,75688,55569
2002,11,402,820,SP,3503208,115098,84238
2002,11,402,73,SP,3503208,16116,11832
2002,3,402,767,SP,3503208,310110,232257
2002,3,8501,379,SP,3503208,107,2100
2002,3,8414,427,SP,3503208,3882,41646
2002,3,2009,611,SP,3503208,129850,135194
2002,3,2009,767,SP,3503208,2020130,2020130
2002,3,2009,87,SP,3503208,2185129,2185129
2002,4,3301,87,SP,3503208,27680,49824
2002,4,402,88,SP,3503208,18353,13746
2002,4,402,767,SP,3503208,146825,116935
2002,4,402,65,SP,3503208,36706,29234
2002,4,402,337,SP,3503208,55060,43851
2002,4,2101,391,SP,3503208,600,1720
2002,4,402,647,SP,3503208,18353,14617
2002,4,402,297,SP,3503208,36706,28363
2002,4,402,137,SP,3503208,18353,14617
2002,5,8410,72,SP,3503208,37700,285535
2002,5,402,341,SP,3503208,18353,14617
2002,5,402,820,SP,3503208,91766,73084
2002,5,402,337,SP,3503208,18353,14617
2002,5,402,65,SP,3503208,18353,14617
2002,5,2009,47,SP,3503208,18550,24167
2002,5,2101,715,SP,3503208,75,218
2002,5,402,767,SP,3503208,18353,14617
2002,5,2101,391,SP,3503208,600,1742
2002,6,3301,754,SP,3503208,5363,18771
2002,6,402,77,SP,3503208,19112,15221
2002,6,402,337,SP,3503208,38224,30442
2002,6,402,780,SP,3503208,18353,14617
2002,6,402,647,SP,3503208,19112,15221
2002,6,402,820,SP,3503208,91766,65182
2002,7,402,88,SP,3503208,38224,29272
2002,7,402,337,SP,3503208,19112,14636
2002,7,8424,611,SP,3503208,3440,8434
2002,7,2009,611,SP,3503208,47700,47940
2002,7,402,341,SP,3503208,38224,29272
2002,7,402,297,SP,3503208,19112,14636
2002,7,2009,87,SP,3503208,1096787,1014528
2002,7,6115,137,SP,3503208,313,7112
2002,7,402,820,SP,3503208,76447,49933
2002,7,2009,47,SP,3503208,18550,21384
2002,7,402,77,SP,3503208,57336,43908
2003,1,8479,87,SP,3503208,2408,151794
