sigla_uf,id_municipio,quantidade_bovinos_total
CE,2311900,12099
CE,2311959,6197
CE,2312007,14036
CE,2312106,4111
CE,2312205,31631
CE,2312304,4571
CE,2312403,3161
CE,2312502,6103
CE,2312601,1134
CE,2312700,20713
CE,2312809,1898
CE,2312908,23517
CE,2313005,28940
CE,2313104,13036
CE,2313203,17822
CE,2313252,5738
CE,2313302,42640
CE,2313351,4874
CE,2313401,3615
CE,2313500,10845
CE,2313559,2327
CE,2313609,3434
CE,2313708,6211
CE,2313757,6787
CE,2313807,1138
CE,2313906,5565
CE,2313955,2244
CE,2314003,19786
CE,2314102,6927
RN,2400109,8611
RN,2400208,9721
RN,2400307,5493
RN,2400406,1216
RN,2400505,10692
RN,2400604,3187
RN,2400703,2429
RN,2400802,6488
RN,2400901,3530
RN,2401008,18386
RN,2401107,597
RN,2401206,1005
RN,2401305,17558
RN,2401404,1060
RN,2401453,3634
RN,2401503,2199
RN,2401602,6757
RN,2401651,815
RN,2401701,4386
RN,2401800,4049
RN,2401859,526
RN,2401909,1647
RN,2402006,26825
RN,2402105,4584
RN,2402204,2296
RN,2402303,13098
RN,2402402,2298
RN,2402501,6202
RN,2402600,13381
RN,2402709,5761
RN,2402808,1454
RN,2402907,1509
RN,2403004,9669
RN,2403103,7661
RN,2403202,2970
RN,2403251,199
RN,2403301,3290
RN,2403400,1139
RN,2403509,4249
RN,2403608,1229
RN,2403707,1385
RN,2403756,2171
RN,2403806,8912
RN,2403905,2540
RN,2404002,1839
RN,2404101,535
RN,2404200,5554
RN,2404309,3468
RN,2404408,540
RN,2404507,1417
RN,2404606,9294
RN,2404705,7061
RN,2404804,90
RN,2404853,2168
RN,2404903,1111
RN,2405009,956
RN,2405108,2457
RN,2405207,4683
RN,2405306,3781
RN,2405405,1965
RN,2405504,2363
RN,2405603,12223
RN,2405702,8085
RN,2405801,9936
RN,2405900,1988
RN,2406007,5762
RN,2406106,20596
RN,2406155,2213
RN,2406205,2349
RN,2406304,5315
RN,2406403,63
RN,2406502,5388
RN,2406601,2608
RN,2406700,5240
RN,2406809,130
RN,2406908,1003
RN,2407005,1598
RN,2407104,10150
RN,2407203,1782
RN,2407252,1990
RN,2407302,6262
RN,2407401,1163
RN,2407500,1015
RN,2407609,4358
RN,2407708,3837
RN,2407807,8005
RN,2407906,1793
RN,2408003,9565
RN,2408102,387
RN,2408201,3825
RN,2408300,15382
RN,2408409,1906
RN,2408508,5198
RN,2408607,2396
RN,2408706,5096
RN,2408805,2971
RN,2408904,5937
RN,2408953,679
RN,2409100,2015
RN,2409209,2593
RN,2409308,5681
RN,2409332,4648
RN,2409407,5113
RN,2409506,1153
RN,2409605,2868
RN,2409704,6951
RN,2409803,6189
RN,2409902,3049
RN,2410009,115
RN,2410108,2899
RN,2410207,1301
RN,2410256,799
RN,2410306,3059
RN,2410405,5451
RN,2410504,3278
RN,2410603,2897
RN,2410702,1497
RN,2410801,2759
RN,2410900,5452
RN,2411007,1875
RN,2411056,4028
RN,2411106,2437
RN,2411205,5008
RN,2411403,17840
RN,2411429,2258
RN,2411502,9178
RN,2411601,1914
RN,2411700,1859
RN,2411809,9482
RN,2411908,2498
RN,2412005,7699
RN,2412104,6503
RN,2412203,7431
RN,2412302,5187
RN,2412401,5983
RN,2412500,3320
RN,2412559,1219
RN,2412609,6212
RN,2412708,5719
RN,2412807,9211
RN,2412906,5183
RN,2413003,3420
RN,2413102,4451
RN,2413201,77
RN,2413300,2474
RN,2413359,1075
RN,2413409,10204
RN,2413508,7057
RN,2413557,1453
RN,2413607,3462
RN,2413706,2769
RN,2413805,93
RN,2413904,11609
RN,2414001,5256
RN,2414100,4494
RN,2414159,1535
RN,2414209,551
RN,2414308,113
RN,2414407,6844
RN,2414456,2444
RN,2414506,3908
RN,2414605,8126
RN,2414704,3459
RN,2414753,1168
RN,2414803,3587
RN,2414902,394
RN,2415008,92
PB,2500106,3699
PB,2500205,6621
PB,2500304,15328
PB,2500403,4412
PB,2500502,5431
PB,2500536,4019
PB,2500577,898
PB,2500601,1937
PB,2500700,15138
PB,2500734,1353
PB,2500775,5999
PB,2500809,14693
PB,2500908,3921
PB,2501005,9070
PB,2501104,10340
PB,2501153,808
PB,2501203,1469
PB,2501302,8990
PB,2501351,966
PB,2501401,997
PB,2501500,13238
PB,2501534,1016
PB,2501575,12295
PB,2501609,6911
PB,2501708,2582
PB,2501807,147
PB,2501906,5243
PB,2502003,11413
PB,2502052,862
PB,2502102,3149
PB,2502151,4210
PB,2502201,1101
PB,2502300,3561
PB,2502409,5127
PB,2502508,7466
PB,2502607,5526
PB,2502706,1109
PB,2502805,9957
PB,2502904,1667
PB,2503001,891
PB,2503100,2950
PB,2503209,134
PB,2503308,4733
PB,2503407,3002
PB,2503506,5339
PB,2503555,1337
PB,2503605,5080
PB,2503704,12597
PB,2503753,6252
PB,2503803,3862
PB,2503902,2024
PB,2504009,10818
PB,2504033,525
PB,2504074,1337
PB,2504108,964
PB,2504157,3625
PB,2504207,5154
PB,2504306,12203
PB,2504355,4475
PB,2504405,11665
PB,2504504,5616
PB,2504603,1539
PB,2504702,1011
PB,2504801,11552
PB,2504850,586
PB,2504900,1819
PB,2505006,1941
PB,2505105,8567
PB,2505204,2491
PB,2505238,4280
PB,2505279,3047
PB,2505303,3204
PB,2505352,3322
PB,2505402,3012
PB,2505501,1223
PB,2505600,2771
PB,2505709,4998
PB,2505808,2184
PB,2505907,2731
PB,2506004,5601
PB,2506103,4487
PB,2506202,2748
PB,2506251,1286
PB,2506301,9752
PB,2506400,9870
PB,2506509,1935
PB,2506608,3834
PB,2506707,3949
PB,2506806,6560
PB,2506905,7743
PB,2507002,9984
PB,2507101,7336
PB,2507200,8459
PB,2507309,6261
PB,2507408,5005
PB,2507507,1445
PB,2507606,2144
PB,2507705,4463
PB,2507804,1557
PB,2507903,1238
PB,2508000,6144
PB,2508109,2076
PB,2508208,5723
PB,2508307,4407
PB,2508406,1742
PB,2508505,4028
PB,2508554,2055
PB,2508604,449
PB,2508703,1502
PB,2508802,2821
PB,2508901,2937
PB,2509008,6041
PB,2509057,307
PB,2509107,6779
PB,2509156,1624
PB,2509206,7264
PB,2509305,1236
PB,2509339,1029
PB,2509370,1804
PB,2509396,872
PB,2509404,6820
PB,2509503,1269
PB,2509602,1827
PB,2509701,17170
PB,2509800,13063
PB,2509909,2255
PB,2510006,3386
PB,2510105,1000
PB,2510204,2163
PB,2510303,3029
PB,2510402,7416
PB,2510501,2843
PB,2510600,2358
PB,2510659,1601
PB,2510709,822
PB,2510808,8844
PB,2510907,21705
PB,2511004,3034
PB,2511103,4362
PB,2511202,2575
PB,2511301,14137
PB,2511400,7924
PB,2511509,4229
PB,2511608,1413
PB,2511707,2272
PB,2511806,3374
PB,2511905,566
PB,2512002,4976
PB,2512036,998
PB,2512077,3214
PB,2512101,23340
PB,2512200,2639
PB,2512309,6602
PB,2512408,2644
PB,2512507,16012
PB,2512606,1439
PB,2512705,3613
PB,2512721,2606
PB,2512747,2750
PB,2512754,1454
